iter	Passed	Remaining
0	71	71455
1	91	45812
2	111	37039
3	129	32173
4	151	30112
5	171	28357
6	194	27621
7	219	27193
8	240	26505
9	262	26011
10	284	25618
11	309	25459
12	331	25175
13	355	25005
14	380	25001
15	410	25244
16	446	25804
17	501	27336
18	524	27082
19	549	26905
20	576	26852
21	600	26683
22	627	26656
23	651	26504
24	676	26389
25	701	26265
26	723	26080
27	748	25967
28	769	25780
29	794	25688
30	824	25760
31	863	26134
32	901	26429
33	924	26268
34	951	26231
35	975	26116
36	1003	26128
37	1021	25860
38	1040	25633
39	1057	25384
40	1075	25152
41	1094	24967
42	1112	24770
43	1132	24608
44	1150	24418
45	1169	24249
46	1191	24156
47	1206	23935
48	1224	23768
49	1245	23663
50	1263	23504
51	1282	23380
52	1300	23240
53	1320	23130
54	1340	23031
55	1358	22902
56	1382	22875
57	1404	22804
58	1426	22750
59	1445	22653
60	1466	22578
61	1487	22502
62	1503	22367
63	1521	22245
64	1537	22120
65	1553	21988
66	1573	21915
67	1590	21795
68	1609	21718
69	1629	21646
70	1649	21578
71	1671	21538
72	1688	21438
73	1709	21392
74	1727	21302
75	1747	21245
76	1768	21200
77	1786	21111
78	1805	21048
79	1826	20999
80	1845	20941
81	1867	20912
82	1888	20867
83	1905	20776
84	1922	20698
85	1939	20613
86	1958	20558
87	1980	20520
88	2000	20473
89	2019	20421
90	2035	20329
91	2052	20256
92	2072	20210
93	2091	20155
94	2113	20135
95	2131	20067
96	2146	19985
97	2168	19963
98	2186	19902
99	2207	19866
100	2226	19814
101	2244	19760
102	2264	19719
103	2283	19676
104	2301	19614
105	2319	19561
106	2338	19514
107	2356	19466
108	2376	19424
109	2395	19384
110	2413	19332
111	2431	19277
112	2451	19243
113	2470	19200
114	2494	19195
115	2515	19168
116	2532	19115
117	2548	19052
118	2567	19010
119	2585	18959
120	2605	18926
121	2626	18899
122	2644	18853
123	2662	18810
124	2679	18756
125	2698	18715
126	2716	18671
127	2735	18638
128	2759	18634
129	2779	18598
130	2797	18558
131	2816	18518
132	2835	18481
133	2853	18442
134	2872	18405
135	2892	18373
136	2912	18347
137	2928	18292
138	2947	18254
139	2963	18203
140	2980	18155
141	2998	18119
142	3020	18103
143	3039	18067
144	3059	18041
145	3078	18005
146	3097	17974
147	3117	17948
148	3137	17920
149	3155	17883
150	3173	17844
151	3191	17803
152	3207	17759
153	3225	17720
154	3244	17686
155	3261	17642
156	3280	17611
157	3296	17565
158	3314	17533
159	3336	17517
160	3354	17478
161	3375	17463
162	3396	17439
163	3412	17395
164	3432	17370
165	3450	17333
166	3470	17309
167	3488	17277
168	3509	17254
169	3527	17220
170	3546	17193
171	3565	17164
172	3586	17146
173	3606	17118
174	3626	17095
175	3646	17074
176	3665	17043
177	3684	17014
178	3700	16973
179	3717	16936
180	3737	16911
181	3760	16900
182	3777	16862
183	3795	16833
184	3813	16800
185	3831	16769
186	3851	16746
187	3871	16721
188	3888	16686
189	3906	16652
190	3924	16623
191	3943	16596
192	3962	16566
193	3981	16540
194	3997	16504
195	4020	16493
196	4040	16469
197	4058	16438
198	4077	16411
199	4098	16395
200	4116	16361
201	4135	16338
202	4155	16316
203	4179	16308
204	4197	16277
205	4214	16246
206	4232	16215
207	4250	16184
208	4268	16155
209	4285	16122
210	4306	16103
211	4325	16076
212	4342	16045
213	4360	16015
214	4379	15989
215	4399	15967
216	4421	15955
217	4442	15936
218	4460	15907
219	4476	15870
220	4493	15839
221	4510	15807
222	4528	15778
223	4545	15747
224	4564	15722
225	4585	15704
226	4604	15680
227	4621	15647
228	4638	15615
229	4654	15581
230	4675	15564
231	4696	15546
232	4733	15582
233	4772	15624
234	4797	15618
235	4826	15624
236	4845	15599
237	4861	15566
238	4883	15548
239	4904	15530
240	4923	15506
241	4943	15485
242	4963	15462
243	4982	15438
244	5009	15436
245	5030	15419
246	5053	15404
247	5077	15395
248	5097	15374
249	5118	15356
250	5141	15341
251	5161	15320
252	5181	15299
253	5204	15285
254	5224	15263
255	5244	15240
256	5265	15222
257	5288	15209
258	5314	15205
259	5336	15189
260	5361	15179
261	5387	15174
262	5407	15153
263	5430	15139
264	5451	15120
265	5471	15097
266	5489	15070
267	5507	15044
268	5530	15027
269	5549	15004
270	5574	14994
271	5595	14974
272	5613	14949
273	5632	14925
274	5652	14901
275	5668	14868
276	5690	14851
277	5709	14828
278	5729	14806
279	5747	14778
280	5763	14746
281	5780	14718
282	5799	14693
283	5818	14669
284	5838	14647
285	5857	14622
286	5876	14598
287	5892	14568
288	5909	14537
289	5927	14513
290	5945	14485
291	5962	14458
292	5982	14434
293	5997	14401
294	6015	14376
295	6031	14344
296	6049	14319
297	6072	14304
298	6090	14279
299	6107	14249
300	6123	14220
301	6139	14189
302	6155	14158
303	6175	14137
304	6196	14119
305	6214	14093
306	6232	14067
307	6251	14045
308	6272	14025
309	6289	13998
310	6309	13977
311	6327	13951
312	6343	13922
313	6363	13902
314	6381	13877
315	6400	13855
316	6418	13828
317	6438	13808
318	6459	13789
319	6480	13770
320	6499	13748
321	6518	13725
322	6536	13699
323	6554	13674
324	6577	13661
325	6601	13648
326	6622	13630
327	6641	13605
328	6660	13585
329	6686	13575
330	6710	13563
331	6732	13547
332	6752	13525
333	6775	13511
334	6800	13500
335	6821	13480
336	6843	13462
337	6868	13452
338	6890	13435
339	6913	13421
340	6948	13427
341	6992	13454
342	7021	13449
343	7050	13445
344	7072	13427
345	7098	13417
346	7119	13397
347	7138	13374
348	7160	13356
349	7176	13328
350	7195	13304
351	7215	13283
352	7235	13260
353	7256	13241
354	7275	13219
355	7300	13205
356	7322	13188
357	7344	13170
358	7365	13150
359	7385	13130
360	7404	13107
361	7422	13082
362	7443	13061
363	7463	13040
364	7482	13017
365	7508	13006
366	7529	12986
367	7551	12969
368	7571	12947
369	7590	12923
370	7609	12900
371	7629	12879
372	7651	12862
373	7670	12838
374	7690	12816
375	7711	12798
376	7730	12775
377	7751	12755
378	7773	12736
379	7792	12713
380	7812	12693
381	7833	12672
382	7854	12653
383	7874	12631
384	7896	12614
385	7918	12595
386	7943	12582
387	7963	12561
388	7981	12536
389	8000	12514
390	8022	12495
391	8046	12480
392	8068	12461
393	8086	12437
394	8110	12422
395	8133	12405
396	8153	12383
397	8171	12359
398	8191	12338
399	8209	12314
400	8234	12300
401	8253	12278
402	8273	12255
403	8293	12234
404	8313	12213
405	8336	12196
406	8358	12178
407	8376	12153
408	8396	12133
409	8416	12111
410	8437	12091
411	8455	12067
412	8474	12044
413	8494	12023
414	8517	12006
415	8537	11985
416	8559	11966
417	8578	11944
418	8596	11920
419	8616	11899
420	8639	11882
421	8660	11862
422	8680	11840
423	8704	11824
424	8730	11812
425	8753	11794
426	8773	11773
427	8796	11755
428	8816	11734
429	8840	11718
430	8865	11703
431	8891	11691
432	8915	11674
433	8937	11655
434	8959	11636
435	8981	11618
436	9003	11599
437	9029	11586
438	9054	11570
439	9075	11550
440	9097	11531
441	9119	11512
442	9144	11497
443	9169	11482
444	9189	11461
445	9212	11443
446	9233	11423
447	9254	11402
448	9277	11384
449	9299	11365
450	9321	11346
451	9343	11327
452	9366	11310
453	9389	11291
454	9412	11274
455	9430	11250
456	9450	11228
457	9467	11203
458	9485	11180
459	9511	11165
460	9531	11144
461	9553	11124
462	9574	11104
463	9594	11083
464	9615	11063
465	9637	11043
466	9659	11024
467	9680	11004
468	9702	10985
469	9723	10965
470	9742	10941
471	9762	10920
472	9785	10902
473	9807	10883
474	9825	10859
475	9843	10836
476	9861	10812
477	9878	10788
478	9897	10765
479	9919	10746
480	9938	10724
481	9959	10702
482	9979	10681
483	10005	10666
484	10027	10648
485	10047	10626
486	10066	10603
487	10084	10580
488	10106	10561
489	10126	10539
490	10143	10515
491	10167	10497
492	10191	10481
493	10215	10463
494	10234	10441
495	10256	10421
496	10278	10402
497	10302	10385
498	10331	10372
499	10353	10353
500	10377	10335
501	10404	10321
502	10426	10302
503	10447	10281
504	10467	10260
505	10488	10240
506	10510	10220
507	10532	10200
508	10551	10178
509	10571	10156
510	10596	10140
511	10619	10121
512	10639	10099
513	10658	10078
514	10677	10055
515	10697	10034
516	10716	10011
517	10735	9989
518	10755	9968
519	10774	9945
520	10793	9923
521	10816	9904
522	10838	9885
523	10856	9862
524	10878	9842
525	10900	9822
526	10919	9800
527	10936	9776
528	10956	9755
529	10974	9731
530	10994	9710
531	11015	9690
532	11034	9668
533	11053	9646
534	11075	9626
535	11096	9605
536	11114	9583
537	11136	9563
538	11155	9540
539	11173	9517
540	11193	9497
541	11215	9477
542	11237	9457
543	11263	9441
544	11282	9419
545	11302	9397
546	11321	9375
547	11341	9354
548	11363	9335
549	11384	9314
550	11412	9299
551	11434	9279
552	11457	9261
553	11490	9250
554	11516	9233
555	11537	9213
556	11563	9196
557	11591	9181
558	11615	9163
559	11640	9146
560	11667	9129
561	11688	9109
562	11712	9090
563	11732	9069
564	11762	9056
565	11786	9037
566	11809	9018
567	11841	9006
568	11866	8988
569	11885	8966
570	11906	8945
571	11925	8923
572	11945	8901
573	11963	8878
574	11987	8860
575	12011	8841
576	12036	8824
577	12076	8817
578	12104	8801
579	12123	8779
580	12145	8758
581	12164	8736
582	12185	8715
583	12202	8692
584	12222	8670
585	12243	8649
586	12265	8629
587	12290	8612
588	12312	8591
589	12334	8571
590	12354	8550
591	12386	8536
592	12415	8521
593	12438	8501
594	12465	8484
595	12490	8466
596	12518	8450
597	12544	8432
598	12567	8412
599	12589	8393
600	12614	8375
601	12642	8358
602	12664	8337
603	12695	8323
604	12722	8306
605	12746	8287
606	12772	8269
607	12805	8255
608	12827	8235
609	12848	8214
610	12867	8192
611	12890	8172
612	12909	8150
613	12932	8130
614	12951	8107
615	12974	8087
616	12994	8066
617	13015	8045
618	13035	8023
619	13058	8003
620	13082	7984
621	13105	7964
622	13128	7944
623	13152	7925
624	13177	7906
625	13203	7888
626	13229	7870
627	13252	7850
628	13275	7830
629	13298	7810
630	13320	7789
631	13345	7770
632	13370	7751
633	13395	7732
634	13417	7712
635	13436	7689
636	13456	7668
637	13480	7648
638	13500	7627
639	13521	7605
640	13540	7583
641	13561	7562
642	13582	7541
643	13602	7519
644	13621	7497
645	13642	7475
646	13660	7453
647	13678	7430
648	13699	7409
649	13719	7387
650	13737	7364
651	13759	7343
652	13781	7323
653	13802	7302
654	13825	7282
655	13843	7259
656	13863	7237
657	13881	7215
658	13903	7194
659	13922	7172
660	13943	7151
661	13970	7133
662	13994	7113
663	14017	7093
664	14037	7071
665	14056	7049
666	14076	7027
667	14099	7007
668	14118	6985
669	14138	6963
670	14161	6943
671	14182	6922
672	14207	6902
673	14228	6881
674	14247	6860
675	14266	6837
676	14286	6816
677	14306	6794
678	14322	6771
679	14346	6751
680	14365	6729
681	14387	6708
682	14407	6687
683	14427	6665
684	14446	6643
685	14466	6621
686	14484	6599
687	14502	6576
688	14523	6555
689	14545	6534
690	14562	6512
691	14586	6492
692	14608	6471
